カテゴリ名,ディレクトリID
CD・DVD >> CD >> 演歌・純邦楽・落語 >> その他,508121
CD・DVD >> CD >> 演歌・純邦楽・落語 >> 演歌,300122
CD・DVD >> CD >> 演歌・純邦楽・落語 >> 演劇,406036
CD・DVD >> CD >> 演歌・純邦楽・落語 >> 伝統音楽・芸能 >> その他,205898
CD・DVD >> CD >> 演歌・純邦楽・落語 >> 伝統音楽・芸能 >> 純邦楽,300323
CD・DVD >> CD >> 演歌・純邦楽・落語 >> 伝統音楽・芸能 >> 伝統芸能,300324
CD・DVD >> CD >> 演歌・純邦楽・落語 >> 伝統音楽・芸能 >> 民謡・講談・浪曲,300326
CD・DVD >> CD >> 演歌・純邦楽・落語 >> 伝統音楽・芸能 >> 落語・漫才,300325
CD・DVD >> CD >> 演歌・純邦楽・落語 >> 落語,508120
CD・DVD >> CD >> 韓国（K-POP）・アジア,553676
CD・DVD >> CD >> 邦楽 >> R&B・ディスコ,300045
CD・DVD >> CD >> 邦楽 >> アイドル,300089
CD・DVD >> CD >> 邦楽 >> インディーズ,300034
CD・DVD >> CD >> 邦楽 >> オムニバス,200540
CD・DVD >> CD >> 邦楽 >> ジャズ・ブルース・ルーツ,300056
CD・DVD >> CD >> 邦楽 >> その他,200542
CD・DVD >> CD >> 邦楽 >> ダンス&ソウル,406012
CD・DVD >> CD >> 邦楽 >> テクノ・リミックス・ハウス,300078
CD・DVD >> CD >> 邦楽 >> パンク・ハードコア,406001
CD・DVD >> CD >> 邦楽 >> フォーク・ニューミュージック,406023
CD・DVD >> CD >> 邦楽 >> ヘビーメタル・ハードロック,300022
CD・DVD >> CD >> 邦楽 >> ラップ・ヒップホップ,300067
CD・DVD >> CD >> 邦楽 >> ロック・ポップス,300011
CD・DVD >> CD >> 洋楽 >> R&B・ディスコ,300268
CD・DVD >> CD >> 洋楽 >> インディーズ,300241
CD・DVD >> CD >> 洋楽 >> オムニバス,200545
CD・DVD >> CD >> 洋楽 >> オルタナティブ・パンク,300214
CD・DVD >> CD >> 洋楽 >> ゴスペル,205895
CD・DVD >> CD >> 洋楽 >> その他,200546
CD・DVD >> CD >> 洋楽 >> ダンス&ソウル,406124
CD・DVD >> CD >> 洋楽 >> テクノ・リミックス・ハウス,406069
CD・DVD >> CD >> 洋楽 >> トランス・ユーロビート,406097
CD・DVD >> CD >> 洋楽 >> フォーク・カントリー,406151
CD・DVD >> CD >> 洋楽 >> ブルース,406178
CD・DVD >> CD >> 洋楽 >> ヘビーメタル・ハードロック,300187
CD・DVD >> CD >> 洋楽 >> ラップ・ヒップホップ,406042
CD・DVD >> CD >> 洋楽 >> ロック・ポップス,300160
CD・DVD >> CD >> 朗読・ドラマ,567551
